'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Trace fitness';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'NotChainSuccession(A_ACCEPTED, W_Completeren aanvraag)';'NotChainSuccession';'[A_ACCEPTED]';'[W_Completeren aanvraag]';0.999;0.208;0.208;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_FINALIZED, W_Completeren aanvraag)';'NotChainSuccession';'[A_FINALIZED]';'[W_Completeren aanvraag]';1.000;0.207;0.207;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_PARTLYSUBMITTED, A_SUBMITTED)';'CoExistence';'[A_PARTLYSUBMITTED]';'[A_SUBMITTED]';1.000;0.210;0.210;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_PARTLYSUBMITTED, A_SUBMITTED)';'NotChainSuccession';'[A_PARTLYSUBMITTED]';'[A_SUBMITTED]';1.000;0.210;0.210;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_PREACCEPTED, W_Completeren aanvraag)';'CoExistence';'[A_PREACCEPTED]';'[W_Completeren aanvraag]';1.000;0.230;0.230;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'Init(A_SUBMITTED)';'Init';'';'[A_SUBMITTED]';1.000;1.000;1.000;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_SUBMITTED, A_PARTLYSUBMITTED)';'CoExistence';'[A_SUBMITTED]';'[A_PARTLYSUBMITTED]';1.000;0.210;0.210;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(O_CREATED, W_Completeren aanvraag)';'NotChainSuccession';'[O_CREATED]';'[W_Completeren aanvraag]';1.000;0.211;0.211;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(O_SELECTED, W_Completeren aanvraag)';'NotChainSuccession';'[O_SELECTED]';'[W_Completeren aanvraag]';1.000;0.211;0.211;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(O_SENT, W_Completeren aanvraag)';'NotChainSuccession';'[O_SENT]';'[W_Completeren aanvraag]';1.000;0.211;0.211;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Completeren aanvraag, A_PARTLYSUBMITTED)';'NotChainSuccession';'[W_Completeren aanvraag]';'[A_PARTLYSUBMITTED]';1.000;0.287;0.287;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(W_Completeren aanvraag, A_PREACCEPTED)';'CoExistence';'[W_Completeren aanvraag]';'[A_PREACCEPTED]';1.000;0.230;0.230;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Completeren aanvraag, A_PREACCEPTED)';'NotChainSuccession';'[W_Completeren aanvraag]';'[A_PREACCEPTED]';1.000;0.230;0.230;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Completeren aanvraag, A_SUBMITTED)';'NotChainSuccession';'[W_Completeren aanvraag]';'[A_SUBMITTED]';1.000;0.287;0.287;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Nabellen incomplete dossiers, W_Completeren aanvraag)';'NotChainSuccession';'[W_Nabellen incomplete dossiers]';'[W_Completeren aanvraag]';1.000;0.221;0.221;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Nabellen offertes, A_PARTLYSUBMITTED)';'NotChainSuccession';'[W_Nabellen offertes]';'[A_PARTLYSUBMITTED]';1.000;0.219;0.219;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Nabellen offertes, A_SUBMITTED)';'NotChainSuccession';'[W_Nabellen offertes]';'[A_SUBMITTED]';1.000;0.219;0.219;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Nabellen offertes, W_Completeren aanvraag)';'NotChainSuccession';'[W_Nabellen offertes]';'[W_Completeren aanvraag]';0.916;0.297;0.272;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(W_Valideren aanvraag, W_Completeren aanvraag)';'NotChainSuccession';'[W_Valideren aanvraag]';'[W_Completeren aanvraag]';1.000;0.223;0.223;1.000;0.454;0.454;;FALSE;FALSE;FALSE;FALSE
