'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Trace fitness';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'End(A_DECLINED)';'End';'';'[A_DECLINED]';1.000;1.000;1.000;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_DECLINED, A_PARTLYSUBMITTED)';'CoExistence';'[A_DECLINED]';'[A_PARTLYSUBMITTED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotResponse(A_DECLINED, A_PARTLYSUBMITTED)';'NotResponse';'[A_DECLINED]';'[A_PARTLYSUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_DECLINED, A_PARTLYSUBMITTED)';'NotChainSuccession';'[A_DECLINED]';'[A_PARTLYSUBMITTED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_DECLINED, A_SUBMITTED)';'CoExistence';'[A_DECLINED]';'[A_SUBMITTED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotResponse(A_DECLINED, A_SUBMITTED)';'NotResponse';'[A_DECLINED]';'[A_SUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_DECLINED, A_SUBMITTED)';'NotChainSuccession';'[A_DECLINED]';'[A_SUBMITTED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'Precedence(A_PARTLYSUBMITTED, A_DECLINED)';'Precedence';'[A_DECLINED]';'[A_PARTLYSUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'Precedence(A_SUBMITTED, A_DECLINED)';'Precedence';'[A_DECLINED]';'[A_SUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(A_DECLINED, A_PARTLYSUBMITTED)';'NotPrecedence';'[A_PARTLYSUBMITTED]';'[A_DECLINED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'Response(A_PARTLYSUBMITTED, A_DECLINED)';'Response';'[A_PARTLYSUBMITTED]';'[A_DECLINED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_PARTLYSUBMITTED, A_DECLINED)';'CoExistence';'[A_PARTLYSUBMITTED]';'[A_DECLINED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_PARTLYSUBMITTED, A_SUBMITTED)';'CoExistence';'[A_PARTLYSUBMITTED]';'[A_SUBMITTED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotResponse(A_PARTLYSUBMITTED, A_SUBMITTED)';'NotResponse';'[A_PARTLYSUBMITTED]';'[A_SUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_PARTLYSUBMITTED, A_SUBMITTED)';'NotChainSuccession';'[A_PARTLYSUBMITTED]';'[A_SUBMITTED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'Precedence(A_SUBMITTED, A_PARTLYSUBMITTED)';'Precedence';'[A_PARTLYSUBMITTED]';'[A_SUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'Init(A_SUBMITTED)';'Init';'';'[A_SUBMITTED]';1.000;1.000;1.000;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(A_DECLINED, A_SUBMITTED)';'NotPrecedence';'[A_SUBMITTED]';'[A_DECLINED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(A_PARTLYSUBMITTED, A_SUBMITTED)';'NotPrecedence';'[A_SUBMITTED]';'[A_PARTLYSUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'Response(A_SUBMITTED, A_DECLINED)';'Response';'[A_SUBMITTED]';'[A_DECLINED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_SUBMITTED, A_DECLINED)';'CoExistence';'[A_SUBMITTED]';'[A_DECLINED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_SUBMITTED, A_DECLINED)';'NotChainSuccession';'[A_SUBMITTED]';'[A_DECLINED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'Response(A_SUBMITTED, A_PARTLYSUBMITTED)';'Response';'[A_SUBMITTED]';'[A_PARTLYSUBMITTED]';1.000;0.333;0.333;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_SUBMITTED, A_PARTLYSUBMITTED)';'CoExistence';'[A_SUBMITTED]';'[A_PARTLYSUBMITTED]';1.000;0.667;0.667;1.000;1.000;1.000;;FALSE;FALSE;FALSE;FALSE
