Unnamed: 0,elementId,processId,concept:name,lifecycle:transition,time:timestamp,case:concept:name,case:LogType,resourceId,org:resource,resourceCost
4680,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-19 16:03:48.007,377,MXML.EnactmentLog,,,
4681,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-19 16:03:48.007,377,MXML.EnactmentLog,,,
4682,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-19 16:03:48.007,377,MXML.EnactmentLog,,,
4683,Activity_10i2g12,Process_1,Task A,assign,2023-06-19 16:03:48.007,377,MXML.EnactmentLog,,,
4684,Activity_10i2g12,Process_1,Task A,start,2023-06-19 16:03:48.007,377,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000008,
4685,Activity_10i2g12,Process_1,Task A,complete,2023-06-19 16:07:33.714,377,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000008,3.1348194444444446
4686,Activity_0noog4x,Process_1,Task B,assign,2023-06-19 16:07:33.714,377,MXML.EnactmentLog,,,
4687,Activity_0noog4x,Process_1,Task B,start,2023-06-19 16:07:33.714,377,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,
4688,Activity_0noog4x,Process_1,Task B,complete,2023-06-19 16:10:10.812,377,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,2.6183
4689,Activity_1df8of5,Process_1,Task D,assign,2023-06-19 16:10:10.812,377,MXML.EnactmentLog,,,
4690,Activity_08imrmf,Process_1,Task C,assign,2023-06-19 16:10:10.812,377,MXML.EnactmentLog,,,
4691,Activity_1df8of5,Process_1,Task D,start,2023-06-19 16:10:10.812,377,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,
4692,Activity_08imrmf,Process_1,Task C,start,2023-06-19 16:10:10.812,377,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000006,
4693,Activity_1df8of5,Process_1,Task D,complete,2023-06-19 16:10:33.778,377,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,0.3827666666666667
4694,Activity_08imrmf,Process_1,Task C,complete,2023-06-19 16:15:46.706,377,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000006,4.665194444444444
4695,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-19 16:15:46.706,377,MXML.EnactmentLog,,,
4696,Activity_1hsmk9h,Process_1,Task E,start,2023-06-19 16:15:46.706,377,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,
4697,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-19 16:16:43.742,377,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,0.9506
4698,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-19 16:16:43.742,377,MXML.EnactmentLog,,,
4699,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-19 16:16:43.742,377,MXML.EnactmentLog,,,
4700,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-19 16:16:43.742,377,MXML.EnactmentLog,,,
