,elementId,processId,concept:name,lifecycle:transition,time:timestamp,case:concept:name,case:LogType,resourceId,org:resource,resourceCost
0,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-22 16:06:25.865,521,MXML.EnactmentLog,,,
1,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-22 16:06:25.865,521,MXML.EnactmentLog,,,
2,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-22 16:06:25.865,521,MXML.EnactmentLog,,,
3,Activity_10i2g12,Process_1,Task A,assign,2023-06-22 16:06:25.865,521,MXML.EnactmentLog,,,
4,Activity_10i2g12,Process_1,Task A,start,2023-06-22 16:06:25.865,521,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000017,
5,Activity_10i2g12,Process_1,Task A,complete,2023-06-22 16:12:18.242,521,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000017,4.894125000000001
6,Activity_0noog4x,Process_1,Task B,assign,2023-06-22 16:12:18.242,521,MXML.EnactmentLog,,,
7,Activity_0noog4x,Process_1,Task B,start,2023-06-22 16:12:18.242,521,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000009,
8,Activity_0noog4x,Process_1,Task B,complete,2023-06-22 16:20:29.061,521,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000009,8.180316666666666
9,Activity_1df8of5,Process_1,Task D,assign,2023-06-22 16:20:29.061,521,MXML.EnactmentLog,,,
10,Activity_1df8of5,Process_1,Task D,start,2023-06-22 16:20:29.061,521,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,
11,Activity_1df8of5,Process_1,Task D,complete,2023-06-22 16:20:50.438,521,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,0.3562833333333333
12,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-22 16:20:50.438,521,MXML.EnactmentLog,,,
13,Activity_1hsmk9h,Process_1,Task E,start,2023-06-22 16:20:50.438,521,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,
14,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-22 16:22:48.997,521,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,1.9759833333333334
15,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-22 16:22:48.997,521,MXML.EnactmentLog,,,
16,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-22 16:22:48.997,521,MXML.EnactmentLog,,,
17,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-22 16:22:48.997,521,MXML.EnactmentLog,,,
18,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-22 16:15:50.718,522,MXML.EnactmentLog,,,
19,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-22 16:15:50.718,522,MXML.EnactmentLog,,,
20,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-22 16:15:50.718,522,MXML.EnactmentLog,,,
21,Activity_10i2g12,Process_1,Task A,assign,2023-06-22 16:15:50.718,522,MXML.EnactmentLog,,,
22,Activity_10i2g12,Process_1,Task A,start,2023-06-22 16:15:50.718,522,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000020,
23,Activity_10i2g12,Process_1,Task A,complete,2023-06-22 16:20:22.234,522,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000020,3.771055555555556
24,Activity_0noog4x,Process_1,Task B,assign,2023-06-22 16:20:22.234,522,MXML.EnactmentLog,,,
25,Activity_0noog4x,Process_1,Task B,start,2023-06-22 16:20:22.234,522,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,
26,Activity_0noog4x,Process_1,Task B,complete,2023-06-22 16:30:35.911,522,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,10.22795
27,Activity_1df8of5,Process_1,Task D,assign,2023-06-22 16:30:35.911,522,MXML.EnactmentLog,,,
28,Activity_1df8of5,Process_1,Task D,start,2023-06-22 16:30:35.911,522,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,
29,Activity_1df8of5,Process_1,Task D,complete,2023-06-22 16:44:32.000,522,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,13.934816666666668
30,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-22 16:44:32.000,522,MXML.EnactmentLog,,,
31,Activity_1hsmk9h,Process_1,Task E,start,2023-06-22 16:44:32.000,522,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000002,
32,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-22 16:57:21.236,522,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000002,12.820599999999999
33,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-22 16:57:21.236,522,MXML.EnactmentLog,,,
34,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-22 16:57:21.236,522,MXML.EnactmentLog,,,
35,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-22 16:57:21.236,522,MXML.EnactmentLog,,,
36,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-22 16:24:20.309,523,MXML.EnactmentLog,,,
37,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-22 16:24:20.309,523,MXML.EnactmentLog,,,
38,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-22 16:24:20.309,523,MXML.EnactmentLog,,,
39,Activity_10i2g12,Process_1,Task A,assign,2023-06-22 16:24:20.309,523,MXML.EnactmentLog,,,
40,Activity_10i2g12,Process_1,Task A,start,2023-06-22 16:24:20.309,523,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000019,
41,Activity_10i2g12,Process_1,Task A,complete,2023-06-22 16:29:00.204,523,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000019,3.8874305555555555
42,Activity_0noog4x,Process_1,Task B,assign,2023-06-22 16:29:00.204,523,MXML.EnactmentLog,,,
43,Activity_0noog4x,Process_1,Task B,start,2023-06-22 16:29:00.204,523,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000003,
44,Activity_0noog4x,Process_1,Task B,complete,2023-06-22 16:39:49.230,523,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000003,10.8171
45,Activity_1df8of5,Process_1,Task D,assign,2023-06-22 16:39:49.230,523,MXML.EnactmentLog,,,
46,Activity_1df8of5,Process_1,Task D,start,2023-06-22 16:39:49.230,523,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000009,
47,Activity_1df8of5,Process_1,Task D,complete,2023-06-22 16:51:51.705,523,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000009,12.04125
48,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-22 16:51:51.705,523,MXML.EnactmentLog,,,
49,Activity_1hsmk9h,Process_1,Task E,start,2023-06-22 16:51:51.705,523,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000006,
50,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-23 09:06:48.851,523,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000006,14.952433333333332
51,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-23 09:06:48.851,523,MXML.EnactmentLog,,,
52,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-23 09:06:48.851,523,MXML.EnactmentLog,,,
53,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-23 09:06:48.851,523,MXML.EnactmentLog,,,
54,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-20 13:25:50.563,409,MXML.EnactmentLog,,,
55,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-20 13:25:50.563,409,MXML.EnactmentLog,,,
56,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-20 13:25:50.563,409,MXML.EnactmentLog,,,
57,Activity_10i2g12,Process_1,Task A,assign,2023-06-20 13:25:50.563,409,MXML.EnactmentLog,,,
58,Activity_10i2g12,Process_1,Task A,start,2023-06-20 13:25:50.563,409,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000018,
59,Activity_10i2g12,Process_1,Task A,complete,2023-06-20 13:29:32.696,409,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000018,3.0851805555555556
60,Activity_0noog4x,Process_1,Task B,assign,2023-06-20 13:29:32.696,409,MXML.EnactmentLog,,,
61,Activity_0noog4x,Process_1,Task B,start,2023-06-20 13:29:32.696,409,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000007,
62,Activity_0noog4x,Process_1,Task B,complete,2023-06-20 13:44:32.607,409,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000007,14.998516666666665
63,Activity_08imrmf,Process_1,Task C,assign,2023-06-20 13:44:32.607,409,MXML.EnactmentLog,,,
64,Activity_08imrmf,Process_1,Task C,start,2023-06-20 13:44:32.607,409,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000019,
65,Activity_08imrmf,Process_1,Task C,complete,2023-06-20 13:47:27.846,409,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000019,2.433875
66,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-20 13:47:27.846,409,MXML.EnactmentLog,,,
67,Activity_1hsmk9h,Process_1,Task E,start,2023-06-20 13:47:27.846,409,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000004,
68,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-20 13:48:12.380,409,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000004,0.7422333333333333
69,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-20 13:48:12.380,409,MXML.EnactmentLog,,,
70,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-20 13:48:12.380,409,MXML.EnactmentLog,,,
71,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-20 13:48:12.380,409,MXML.EnactmentLog,,,
72,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-22 16:44:31.750,525,MXML.EnactmentLog,,,
73,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-22 16:44:31.750,525,MXML.EnactmentLog,,,
74,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-22 16:44:31.750,525,MXML.EnactmentLog,,,
75,Activity_10i2g12,Process_1,Task A,assign,2023-06-22 16:44:31.750,525,MXML.EnactmentLog,,,
76,Activity_10i2g12,Process_1,Task A,start,2023-06-22 16:44:31.750,525,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000007,
77,Activity_10i2g12,Process_1,Task A,complete,2023-06-22 16:48:14.733,525,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000007,3.096986111111111
78,Activity_0noog4x,Process_1,Task B,assign,2023-06-22 16:48:14.733,525,MXML.EnactmentLog,,,
79,Activity_0noog4x,Process_1,Task B,start,2023-06-22 16:48:14.733,525,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,
80,Activity_0noog4x,Process_1,Task B,complete,2023-06-23 09:10:39.259,525,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,22.408766666666665
81,Activity_08imrmf,Process_1,Task C,assign,2023-06-23 09:10:39.259,525,MXML.EnactmentLog,,,
82,Activity_08imrmf,Process_1,Task C,start,2023-06-23 09:10:39.259,525,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000005,
83,Activity_08imrmf,Process_1,Task C,complete,2023-06-23 09:16:19.761,525,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000005,4.729194444444445
84,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-23 09:16:19.761,525,MXML.EnactmentLog,,,
85,Activity_1hsmk9h,Process_1,Task E,start,2023-06-23 09:16:19.761,525,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,
86,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-23 09:22:10.472,525,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,5.845183333333333
87,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-23 09:22:10.472,525,MXML.EnactmentLog,,,
88,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-23 09:22:10.472,525,MXML.EnactmentLog,,,
89,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-23 09:22:10.472,525,MXML.EnactmentLog,,,
90,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-22 16:56:45.869,526,MXML.EnactmentLog,,,
91,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-22 16:56:45.869,526,MXML.EnactmentLog,,,
92,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-22 16:56:45.869,526,MXML.EnactmentLog,,,
93,Activity_10i2g12,Process_1,Task A,assign,2023-06-22 16:56:45.869,526,MXML.EnactmentLog,,,
94,Activity_10i2g12,Process_1,Task A,start,2023-06-22 16:56:45.869,526,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000002,
