candidate_id,Constraint,template,rule,simulator_supported,arg0,arg1,Support,Coverage,Confidence
atmost2_A_ACCEPTED,AtMost2(A_ACCEPTED),atmost2,,False,A_ACCEPTED,,0.052,0.052,1.0
notchainsuccession_A_ACCEPTED_A_PARTLYSUBMITTED,"NotChainSuccession(A_ACCEPTED, A_PARTLYSUBMITTED)",notchainsuccession,NotChainSuccession,True,A_ACCEPTED,A_PARTLYSUBMITTED,0.13,0.13,1.0
notchainsuccession_A_ACCEPTED_A_PREACCEPTED,"NotChainSuccession(A_ACCEPTED, A_PREACCEPTED)",notchainsuccession,NotChainSuccession,True,A_ACCEPTED,A_PREACCEPTED,0.073,0.073,1.0
notchainsuccession_A_ACCEPTED_A_SUBMITTED,"NotChainSuccession(A_ACCEPTED, A_SUBMITTED)",notchainsuccession,NotChainSuccession,True,A_ACCEPTED,A_SUBMITTED,0.13,0.13,1.0
coexistence_A_ACCEPTED_O_CREATED,"CoExistence(A_ACCEPTED, O_CREATED)",coexistence,coexistence,True,A_ACCEPTED,O_CREATED,0.053,0.054,0.986
notchainsuccession_A_ACCEPTED_O_CREATED,"NotChainSuccession(A_ACCEPTED, O_CREATED)",notchainsuccession,NotChainSuccession,True,A_ACCEPTED,O_CREATED,0.054,0.054,1.0
coexistence_A_ACCEPTED_O_SELECTED,"CoExistence(A_ACCEPTED, O_SELECTED)",coexistence,coexistence,True,A_ACCEPTED,O_SELECTED,0.053,0.054,0.986
coexistence_A_ACCEPTED_O_SENT,"CoExistence(A_ACCEPTED, O_SENT)",coexistence,coexistence,True,A_ACCEPTED,O_SENT,0.053,0.054,0.986
notchainsuccession_A_ACCEPTED_O_SENT,"NotChainSuccession(A_ACCEPTED, O_SENT)",notchainsuccession,NotChainSuccession,True,A_ACCEPTED,O_SENT,0.054,0.054,1.0
notsuccession_A_ACCEPTED_W_Completeren_aanvraag,"NotSuccession(A_ACCEPTED, W_Completeren aanvraag)",notsuccession,,False,A_ACCEPTED,W_Completeren aanvraag,0.169,0.208,0.811
coexistence_A_ACCEPTED_W_Nabellen_offertes,"CoExistence(A_ACCEPTED, W_Nabellen offertes)",coexistence,coexistence,True,A_ACCEPTED,W_Nabellen offertes,0.139,0.14,0.995
notchainsuccession_A_ACCEPTED_W_Nabellen_offertes,"NotChainSuccession(A_ACCEPTED, W_Nabellen offertes)",notchainsuccession,NotChainSuccession,True,A_ACCEPTED,W_Nabellen offertes,0.14,0.14,1.0
atmost2_A_ACTIVATED,AtMost2(A_ACTIVATED),atmost2,,False,A_ACTIVATED,,0.052,0.052,1.0
notchainsuccession_A_ACTIVATED_A_PARTLYSUBMITTED,"NotChainSuccession(A_ACTIVATED, A_PARTLYSUBMITTED)",notchainsuccession,NotChainSuccession,True,A_ACTIVATED,A_PARTLYSUBMITTED,0.114,0.114,1.0
notchainsuccession_A_ACTIVATED_A_PREACCEPTED,"NotChainSuccession(A_ACTIVATED, A_PREACCEPTED)",notchainsuccession,NotChainSuccession,True,A_ACTIVATED,A_PREACCEPTED,0.057,0.057,1.0
notchainsuccession_A_ACTIVATED_A_SUBMITTED,"NotChainSuccession(A_ACTIVATED, A_SUBMITTED)",notchainsuccession,NotChainSuccession,True,A_ACTIVATED,A_SUBMITTED,0.114,0.114,1.0
notchainsuccession_A_ACTIVATED_W_Completeren_aanvraag,"NotChainSuccession(A_ACTIVATED, W_Completeren aanvraag)",notchainsuccession,NotChainSuccession,True,A_ACTIVATED,W_Completeren aanvraag,0.191,0.191,1.0
notchainsuccession_A_ACTIVATED_W_Nabellen_offertes,"NotChainSuccession(A_ACTIVATED, W_Nabellen offertes)",notchainsuccession,NotChainSuccession,True,A_ACTIVATED,W_Nabellen offertes,0.123,0.123,1.0
atmost2_A_APPROVED,AtMost2(A_APPROVED),atmost2,,False,A_APPROVED,,0.052,0.052,1.0
notchainsuccession_A_APPROVED_A_PARTLYSUBMITTED,"NotChainSuccession(A_APPROVED, A_PARTLYSUBMITTED)",notchainsuccession,NotChainSuccession,True,A_APPROVED,A_PARTLYSUBMITTED,0.114,0.114,1.0
notchainsuccession_A_APPROVED_A_PREACCEPTED,"NotChainSuccession(A_APPROVED, A_PREACCEPTED)",notchainsuccession,NotChainSuccession,True,A_APPROVED,A_PREACCEPTED,0.057,0.057,1.0
notchainsuccession_A_APPROVED_A_SUBMITTED,"NotChainSuccession(A_APPROVED, A_SUBMITTED)",notchainsuccession,NotChainSuccession,True,A_APPROVED,A_SUBMITTED,0.114,0.114,1.0
notchainsuccession_A_APPROVED_W_Completeren_aanvraag,"NotChainSuccession(A_APPROVED, W_Completeren aanvraag)",notchainsuccession,NotChainSuccession,True,A_APPROVED,W_Completeren aanvraag,0.191,0.191,1.0
notchainsuccession_A_APPROVED_W_Nabellen_offertes,"NotChainSuccession(A_APPROVED, W_Nabellen offertes)",notchainsuccession,NotChainSuccession,True,A_APPROVED,W_Nabellen offertes,0.123,0.123,1.0
atmost2_A_CANCELLED,AtMost2(A_CANCELLED),atmost2,,False,A_CANCELLED,,0.052,0.052,1.0
notchainsuccession_A_CANCELLED_A_PARTLYSUBMITTED,"NotChainSuccession(A_CANCELLED, A_PARTLYSUBMITTED)",notchainsuccession,NotChainSuccession,True,A_CANCELLED,A_PARTLYSUBMITTED,0.126,0.126,1.0
