candidate_id,Constraint,template,rule,simulator_supported,arg0,arg1,Support,Coverage,Confidence
notcoexistence_Amend_Purchase_Requisition_Amend_Request_for_Quotation,"NotCoExistence(Amend Purchase Requisition, Amend Request for Quotation)",notcoexistence,,False,Amend Purchase Requisition,Amend Request for Quotation,0.061,0.063,0.972
notcoexistence_Amend_Purchase_Requisition_Analyze_Request_for_Quotation,"NotCoExistence(Amend Purchase Requisition, Analyze Request for Quotation)",notcoexistence,,False,Amend Purchase Requisition,Analyze Request for Quotation,0.119,0.123,0.973
notcoexistence_Amend_Purchase_Requisition_Create_Purchase_Requisition,"NotCoExistence(Amend Purchase Requisition, Create Purchase Requisition)",notcoexistence,,False,Amend Purchase Requisition,Create Purchase Requisition,0.065,0.068,0.964
notcoexistence_Amend_Purchase_Requisition_Create_Request_for_Quotation,"NotCoExistence(Amend Purchase Requisition, Create Request for Quotation)",notcoexistence,,False,Amend Purchase Requisition,Create Request for Quotation,0.059,0.061,0.964
notresponse_Amend_Request_for_Quotation_Amend_Purchase_Requisition,"NotResponse(Amend Request for Quotation, Amend Purchase Requisition)",notresponse,,False,Amend Request for Quotation,Amend Purchase Requisition,0.062,0.062,1.0
notresponse_Amend_Request_for_Quotation_Analyze_Purchase_Requisition,"NotResponse(Amend Request for Quotation, Analyze Purchase Requisition)",notresponse,,False,Amend Request for Quotation,Analyze Purchase Requisition,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Analyze_Quotation_Comparison_Map,"NotChainResponse(Amend Request for Quotation, Analyze Quotation Comparison Map)",notchainresponse,,False,Amend Request for Quotation,Analyze Quotation Comparison Map,0.062,0.062,1.0
response_Amend_Request_for_Quotation_Analyze_Request_for_Quotation,"Response(Amend Request for Quotation, Analyze Request for Quotation)",response,eventually,True,Amend Request for Quotation,Analyze Request for Quotation,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Approve_Purchase_Order_for_payment,"NotChainResponse(Amend Request for Quotation, Approve Purchase Order for payment)",notchainresponse,,False,Amend Request for Quotation,Approve Purchase Order for payment,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Authorize_Suppliers_Invoice_payment,"NotChainResponse(Amend Request for Quotation, Authorize Suppliers Invoice payment)'",notchainresponse,,False,Amend Request for Quotation,Authorize Suppliers Invoice payment,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Choose_best_option,"NotChainResponse(Amend Request for Quotation, Choose best option)",notchainresponse,,False,Amend Request for Quotation,Choose best option,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Confirm_Purchase_Order,"NotChainResponse(Amend Request for Quotation, Confirm Purchase Order)",notchainresponse,,False,Amend Request for Quotation,Confirm Purchase Order,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Create_Purchase_Order,"NotChainResponse(Amend Request for Quotation, Create Purchase Order)",notchainresponse,,False,Amend Request for Quotation,Create Purchase Order,0.062,0.062,1.0
notresponse_Amend_Request_for_Quotation_Create_Purchase_Requisition,"NotResponse(Amend Request for Quotation, Create Purchase Requisition)",notresponse,,False,Amend Request for Quotation,Create Purchase Requisition,0.062,0.062,1.0
notchainsuccession_Amend_Request_for_Quotation_Create_Purchase_Requisition,"NotChainSuccession(Amend Request for Quotation, Create Purchase Requisition)",notchainsuccession,NotChainSuccession,True,Amend Request for Quotation,Create Purchase Requisition,0.128,0.128,1.0
notchainresponse_Amend_Request_for_Quotation_Create_Quotation_comparison_Map,"NotChainResponse(Amend Request for Quotation, Create Quotation comparison Map)",notchainresponse,,False,Amend Request for Quotation,Create Quotation comparison Map,0.062,0.062,1.0
notresponse_Amend_Request_for_Quotation_Create_Request_for_Quotation,"NotResponse(Amend Request for Quotation, Create Request for Quotation)",notresponse,,False,Amend Request for Quotation,Create Request for Quotation,0.062,0.062,1.0
notchainsuccession_Amend_Request_for_Quotation_Create_Request_for_Quotation,"NotChainSuccession(Amend Request for Quotation, Create Request for Quotation)",notchainsuccession,NotChainSuccession,True,Amend Request for Quotation,Create Request for Quotation,0.121,0.121,1.0
notchainresponse_Amend_Request_for_Quotation_Deliver_Goods_Services,"NotChainResponse(Amend Request for Quotation, Deliver Goods Services)",notchainresponse,,False,Amend Request for Quotation,Deliver Goods Services,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Pay_Invoice,"NotChainResponse(Amend Request for Quotation, Pay Invoice)",notchainresponse,,False,Amend Request for Quotation,Pay Invoice,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Release_Purchase_Order,"NotChainResponse(Amend Request for Quotation, Release Purchase Order)",notchainresponse,,False,Amend Request for Quotation,Release Purchase Order,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Release_Suppliers_Invoice,"NotChainResponse(Amend Request for Quotation, Release Suppliers Invoice)'",notchainresponse,,False,Amend Request for Quotation,Release Suppliers Invoice,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Send_Invoice,"NotChainResponse(Amend Request for Quotation, Send Invoice)",notchainresponse,,False,Amend Request for Quotation,Send Invoice,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Send_Request_for_Quotation_to_Supplier,"NotChainResponse(Amend Request for Quotation, Send Request for Quotation to Supplier)",notchainresponse,,False,Amend Request for Quotation,Send Request for Quotation to Supplier,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Settle_Conditions_With_Supplier,"NotChainResponse(Amend Request for Quotation, Settle Conditions With Supplier)",notchainresponse,,False,Amend Request for Quotation,Settle Conditions With Supplier,0.062,0.062,1.0
notchainresponse_Amend_Request_for_Quotation_Settle_Dispute_With_Supplier,"NotChainResponse(Amend Request for Quotation, Settle Dispute With Supplier)",notchainresponse,,False,Amend Request for Quotation,Settle Dispute With Supplier,0.062,0.062,1.0
notchainprecedence_Analyze_Purchase_Requisition_Amend_Request_for_Quotation,"NotChainPrecedence(Analyze Purchase Requisition, Amend Request for Quotation)",notchainprecedence,,False,Analyze Purchase Requisition,Amend Request for Quotation,0.062,0.062,1.0
notprecedence_Analyze_Quotation_Comparison_Map_Amend_Request_for_Quotation,"NotPrecedence(Analyze Quotation Comparison Map, Amend Request for Quotation)",notprecedence,,False,Analyze Quotation Comparison Map,Amend Request for Quotation,0.062,0.062,1.0
