candidate_id,Constraint,template,rule,simulator_supported,arg0,arg1,Support,Coverage,Confidence
atleast3_EVENT_1_START,AtLeast3(EVENT 1 START),atleast3,,False,EVENT 1 START,,0.053,0.053,1.0
atmost3_EVENT_1_START,AtMost3(EVENT 1 START),atmost3,,False,EVENT 1 START,,0.053,0.053,1.0
init_EVENT_1_START,Init(EVENT 1 START),init,,False,EVENT 1 START,,1.0,1.0,1.0
response_EVENT_1_START_EVENT_7_END,"Response(EVENT 1 START, EVENT 7 END)",response,eventually,True,EVENT 1 START,EVENT 7 END,0.159,0.159,1.0
coexistence_EVENT_1_START_EVENT_7_END,"CoExistence(EVENT 1 START, EVENT 7 END)",coexistence,coexistence,True,EVENT 1 START,EVENT 7 END,0.319,0.319,1.0
notchainsuccession_EVENT_1_START_EVENT_7_END,"NotChainSuccession(EVENT 1 START, EVENT 7 END)",notchainsuccession,NotChainSuccession,True,EVENT 1 START,EVENT 7 END,0.319,0.319,1.0
response_EVENT_1_START_Task_A,"Response(EVENT 1 START, Task A)",response,eventually,True,EVENT 1 START,Task A,0.159,0.159,1.0
coexistence_EVENT_1_START_Task_A,"CoExistence(EVENT 1 START, Task A)",coexistence,coexistence,True,EVENT 1 START,Task A,0.319,0.319,1.0
response_EVENT_1_START_Task_B,"Response(EVENT 1 START, Task B)",response,eventually,True,EVENT 1 START,Task B,0.159,0.159,1.0
coexistence_EVENT_1_START_Task_B,"CoExistence(EVENT 1 START, Task B)",coexistence,coexistence,True,EVENT 1 START,Task B,0.319,0.319,1.0
notchainsuccession_EVENT_1_START_Task_B,"NotChainSuccession(EVENT 1 START, Task B)",notchainsuccession,NotChainSuccession,True,EVENT 1 START,Task B,0.319,0.319,1.0
notchainresponse_EVENT_1_START_Task_C,"NotChainResponse(EVENT 1 START, Task C)",notchainresponse,,False,EVENT 1 START,Task C,0.159,0.159,1.0
notchainresponse_EVENT_1_START_Task_D,"NotChainResponse(EVENT 1 START, Task D)",notchainresponse,,False,EVENT 1 START,Task D,0.159,0.159,1.0
response_EVENT_1_START_Task_E,"Response(EVENT 1 START, Task E)",response,eventually,True,EVENT 1 START,Task E,0.159,0.159,1.0
coexistence_EVENT_1_START_Task_E,"CoExistence(EVENT 1 START, Task E)",coexistence,coexistence,True,EVENT 1 START,Task E,0.319,0.319,1.0
notchainsuccession_EVENT_1_START_Task_E,"NotChainSuccession(EVENT 1 START, Task E)",notchainsuccession,NotChainSuccession,True,EVENT 1 START,Task E,0.319,0.319,1.0
notprecedence_EVENT_7_END_EVENT_1_START,"NotPrecedence(EVENT 7 END, EVENT 1 START)",notprecedence,,False,EVENT 7 END,EVENT 1 START,0.159,0.159,1.0
notprecedence_Task_A_EVENT_1_START,"NotPrecedence(Task A, EVENT 1 START)",notprecedence,,False,Task A,EVENT 1 START,0.159,0.159,1.0
notprecedence_Task_B_EVENT_1_START,"NotPrecedence(Task B, EVENT 1 START)",notprecedence,,False,Task B,EVENT 1 START,0.159,0.159,1.0
notprecedence_Task_C_EVENT_1_START,"NotPrecedence(Task C, EVENT 1 START)",notprecedence,,False,Task C,EVENT 1 START,0.159,0.159,1.0
notprecedence_Task_D_EVENT_1_START,"NotPrecedence(Task D, EVENT 1 START)",notprecedence,,False,Task D,EVENT 1 START,0.159,0.159,1.0
notprecedence_Task_E_EVENT_1_START,"NotPrecedence(Task E, EVENT 1 START)",notprecedence,,False,Task E,EVENT 1 START,0.159,0.159,1.0
atleast3_EVENT_7_END,AtLeast3(EVENT 7 END),atleast3,,False,EVENT 7 END,,0.053,0.053,1.0
atmost3_EVENT_7_END,AtMost3(EVENT 7 END),atmost3,,False,EVENT 7 END,,0.053,0.053,1.0
end_EVENT_7_END,End(EVENT 7 END),end,,False,EVENT 7 END,,1.0,1.0,1.0
precedence_EVENT_1_START_EVENT_7_END,"Precedence(EVENT 1 START, EVENT 7 END)",precedence,precedence,True,EVENT 1 START,EVENT 7 END,0.159,0.159,1.0
coexistence_EVENT_7_END_EVENT_1_START,"CoExistence(EVENT 7 END, EVENT 1 START)",coexistence,coexistence,True,EVENT 7 END,EVENT 1 START,0.319,0.319,1.0
notresponse_EVENT_7_END_EVENT_1_START,"NotResponse(EVENT 7 END, EVENT 1 START)",notresponse,,False,EVENT 7 END,EVENT 1 START,0.159,0.159,1.0
notchainsuccession_EVENT_7_END_EVENT_1_START,"NotChainSuccession(EVENT 7 END, EVENT 1 START)",notchainsuccession,NotChainSuccession,True,EVENT 7 END,EVENT 1 START,0.319,0.319,1.0
coexistence_EVENT_7_END_Task_A,"CoExistence(EVENT 7 END, Task A)",coexistence,coexistence,True,EVENT 7 END,Task A,0.319,0.319,1.0
notresponse_EVENT_7_END_Task_A,"NotResponse(EVENT 7 END, Task A)",notresponse,,False,EVENT 7 END,Task A,0.159,0.159,1.0
notchainsuccession_EVENT_7_END_Task_A,"NotChainSuccession(EVENT 7 END, Task A)",notchainsuccession,NotChainSuccession,True,EVENT 7 END,Task A,0.319,0.319,1.0
