candidate_id,Constraint,template,rule,simulator_supported,arg0,arg1,Support,Coverage,Confidence
response_EVENT_1_START_EVENT_7_END,"Response(EVENT 1 START, EVENT 7 END)",response,eventually,True,EVENT 1 START,EVENT 7 END,0.159,0.159,1.0
coexistence_EVENT_1_START_EVENT_7_END,"CoExistence(EVENT 1 START, EVENT 7 END)",coexistence,coexistence,True,EVENT 1 START,EVENT 7 END,0.319,0.319,1.0
notchainsuccession_EVENT_1_START_EVENT_7_END,"NotChainSuccession(EVENT 1 START, EVENT 7 END)",notchainsuccession,NotChainSuccession,True,EVENT 1 START,EVENT 7 END,0.319,0.319,1.0
response_EVENT_1_START_Task_A,"Response(EVENT 1 START, Task A)",response,eventually,True,EVENT 1 START,Task A,0.159,0.159,1.0
coexistence_EVENT_1_START_Task_A,"CoExistence(EVENT 1 START, Task A)",coexistence,coexistence,True,EVENT 1 START,Task A,0.319,0.319,1.0
response_EVENT_1_START_Task_B,"Response(EVENT 1 START, Task B)",response,eventually,True,EVENT 1 START,Task B,0.159,0.159,1.0
coexistence_EVENT_1_START_Task_B,"CoExistence(EVENT 1 START, Task B)",coexistence,coexistence,True,EVENT 1 START,Task B,0.319,0.319,1.0
notchainsuccession_EVENT_1_START_Task_B,"NotChainSuccession(EVENT 1 START, Task B)",notchainsuccession,NotChainSuccession,True,EVENT 1 START,Task B,0.319,0.319,1.0
response_EVENT_1_START_Task_E,"Response(EVENT 1 START, Task E)",response,eventually,True,EVENT 1 START,Task E,0.159,0.159,1.0
coexistence_EVENT_1_START_Task_E,"CoExistence(EVENT 1 START, Task E)",coexistence,coexistence,True,EVENT 1 START,Task E,0.319,0.319,1.0
notchainsuccession_EVENT_1_START_Task_E,"NotChainSuccession(EVENT 1 START, Task E)",notchainsuccession,NotChainSuccession,True,EVENT 1 START,Task E,0.319,0.319,1.0
precedence_EVENT_1_START_EVENT_7_END,"Precedence(EVENT 1 START, EVENT 7 END)",precedence,precedence,True,EVENT 1 START,EVENT 7 END,0.159,0.159,1.0
coexistence_EVENT_7_END_EVENT_1_START,"CoExistence(EVENT 7 END, EVENT 1 START)",coexistence,coexistence,True,EVENT 7 END,EVENT 1 START,0.319,0.319,1.0
notchainsuccession_EVENT_7_END_EVENT_1_START,"NotChainSuccession(EVENT 7 END, EVENT 1 START)",notchainsuccession,NotChainSuccession,True,EVENT 7 END,EVENT 1 START,0.319,0.319,1.0
coexistence_EVENT_7_END_Task_A,"CoExistence(EVENT 7 END, Task A)",coexistence,coexistence,True,EVENT 7 END,Task A,0.319,0.319,1.0
notchainsuccession_EVENT_7_END_Task_A,"NotChainSuccession(EVENT 7 END, Task A)",notchainsuccession,NotChainSuccession,True,EVENT 7 END,Task A,0.319,0.319,1.0
coexistence_EVENT_7_END_Task_B,"CoExistence(EVENT 7 END, Task B)",coexistence,coexistence,True,EVENT 7 END,Task B,0.319,0.319,1.0
notchainsuccession_EVENT_7_END_Task_B,"NotChainSuccession(EVENT 7 END, Task B)",notchainsuccession,NotChainSuccession,True,EVENT 7 END,Task B,0.319,0.319,1.0
coexistence_EVENT_7_END_Task_E,"CoExistence(EVENT 7 END, Task E)",coexistence,coexistence,True,EVENT 7 END,Task E,0.319,0.319,1.0
notchainsuccession_EVENT_7_END_Task_E,"NotChainSuccession(EVENT 7 END, Task E)",notchainsuccession,NotChainSuccession,True,EVENT 7 END,Task E,0.319,0.319,1.0
precedence_Task_A_EVENT_7_END,"Precedence(Task A, EVENT 7 END)",precedence,precedence,True,Task A,EVENT 7 END,0.159,0.159,1.0
precedence_Task_B_EVENT_7_END,"Precedence(Task B, EVENT 7 END)",precedence,precedence,True,Task B,EVENT 7 END,0.159,0.159,1.0
precedence_Task_E_EVENT_7_END,"Precedence(Task E, EVENT 7 END)",precedence,precedence,True,Task E,EVENT 7 END,0.159,0.159,1.0
precedence_EVENT_1_START_Task_A,"Precedence(EVENT 1 START, Task A)",precedence,precedence,True,EVENT 1 START,Task A,0.159,0.159,1.0
coexistence_Task_A_EVENT_1_START,"CoExistence(Task A, EVENT 1 START)",coexistence,coexistence,True,Task A,EVENT 1 START,0.319,0.319,1.0
notchainsuccession_Task_A_EVENT_1_START,"NotChainSuccession(Task A, EVENT 1 START)",notchainsuccession,NotChainSuccession,True,Task A,EVENT 1 START,0.319,0.319,1.0
response_Task_A_EVENT_7_END,"Response(Task A, EVENT 7 END)",response,eventually,True,Task A,EVENT 7 END,0.159,0.159,1.0
coexistence_Task_A_EVENT_7_END,"CoExistence(Task A, EVENT 7 END)",coexistence,coexistence,True,Task A,EVENT 7 END,0.319,0.319,1.0
notchainsuccession_Task_A_EVENT_7_END,"NotChainSuccession(Task A, EVENT 7 END)",notchainsuccession,NotChainSuccession,True,Task A,EVENT 7 END,0.319,0.319,1.0
response_Task_A_Task_B,"Response(Task A, Task B)",response,eventually,True,Task A,Task B,0.159,0.159,1.0
coexistence_Task_A_Task_B,"CoExistence(Task A, Task B)",coexistence,coexistence,True,Task A,Task B,0.319,0.319,1.0
response_Task_A_Task_E,"Response(Task A, Task E)",response,eventually,True,Task A,Task E,0.159,0.159,1.0
coexistence_Task_A_Task_E,"CoExistence(Task A, Task E)",coexistence,coexistence,True,Task A,Task E,0.319,0.319,1.0
notchainsuccession_Task_A_Task_E,"NotChainSuccession(Task A, Task E)",notchainsuccession,NotChainSuccession,True,Task A,Task E,0.319,0.319,1.0
precedence_EVENT_1_START_Task_B,"Precedence(EVENT 1 START, Task B)",precedence,precedence,True,EVENT 1 START,Task B,0.159,0.159,1.0
precedence_Task_A_Task_B,"Precedence(Task A, Task B)",precedence,precedence,True,Task A,Task B,0.159,0.159,1.0
coexistence_Task_B_EVENT_1_START,"CoExistence(Task B, EVENT 1 START)",coexistence,coexistence,True,Task B,EVENT 1 START,0.319,0.319,1.0
