log,arm,run_label,replica,pce
RunningExample,AS-IS,final_asis,1,7.356066862563507
RunningExample,AS-IS,final_asis,10,7.208844945939353
RunningExample,AS-IS,final_asis,11,6.596019131582705
RunningExample,AS-IS,final_asis,12,7.001977481206262
RunningExample,AS-IS,final_asis,13,7.321131476655335
RunningExample,AS-IS,final_asis,14,6.52871822697091
RunningExample,AS-IS,final_asis,15,7.335170234057534
RunningExample,AS-IS,final_asis,16,7.554758701710185
RunningExample,AS-IS,final_asis,17,6.828551727660607
RunningExample,AS-IS,final_asis,18,7.641412233295139
RunningExample,AS-IS,final_asis,19,7.089564024308783
RunningExample,AS-IS,final_asis,2,7.675727978788732
RunningExample,AS-IS,final_asis,20,6.97038598327069
RunningExample,AS-IS,final_asis,3,7.512522057417758
RunningExample,AS-IS,final_asis,4,7.732335854781505
RunningExample,AS-IS,final_asis,5,6.87819204299619
RunningExample,AS-IS,final_asis,6,7.492780196745061
RunningExample,AS-IS,final_asis,7,7.100416577713118
RunningExample,AS-IS,final_asis,8,7.820187561042706
RunningExample,AS-IS,final_asis,9,6.614566190649591
RunningExample,Placebo,final_placebo,1,7.232162349936886
RunningExample,Placebo,final_placebo,10,6.5623381287371
RunningExample,Placebo,final_placebo,11,7.09051861944166
RunningExample,Placebo,final_placebo,12,6.245854686864671
RunningExample,Placebo,final_placebo,13,6.469558579511257
RunningExample,Placebo,final_placebo,14,6.911088083604344
RunningExample,Placebo,final_placebo,15,6.1871756393111985
RunningExample,Placebo,final_placebo,16,7.150676582106312
RunningExample,Placebo,final_placebo,17,6.985313975036073
RunningExample,Placebo,final_placebo,18,6.798303521496128
RunningExample,Placebo,final_placebo,19,7.349971683175902
RunningExample,Placebo,final_placebo,2,7.426843978057946
RunningExample,Placebo,final_placebo,20,7.1019625521933225
RunningExample,Placebo,final_placebo,3,7.341480461168767
RunningExample,Placebo,final_placebo,4,6.764185137679733
RunningExample,Placebo,final_placebo,5,6.973166411448734
RunningExample,Placebo,final_placebo,6,6.451095101729938
RunningExample,Placebo,final_placebo,7,7.247201432792916
RunningExample,Placebo,final_placebo,8,7.097399093474302
RunningExample,Placebo,final_placebo,9,6.5386311375878154
RunningExample,Top-Support,final_topsupport,1,6.1332602737309605
RunningExample,Top-Support,final_topsupport,10,7.01907835498077
RunningExample,Top-Support,final_topsupport,11,6.871685371626778
RunningExample,Top-Support,final_topsupport,12,7.007185628177688
RunningExample,Top-Support,final_topsupport,13,6.491875755616633
RunningExample,Top-Support,final_topsupport,14,6.0824053617898715
RunningExample,Top-Support,final_topsupport,15,6.351640967755838
RunningExample,Top-Support,final_topsupport,16,5.891571541979319
RunningExample,Top-Support,final_topsupport,17,5.808026372804031
RunningExample,Top-Support,final_topsupport,18,5.3521836752902985
RunningExample,Top-Support,final_topsupport,19,6.434843295590391
RunningExample,Top-Support,final_topsupport,2,6.509046544893946
RunningExample,Top-Support,final_topsupport,20,5.964350973297803
RunningExample,Top-Support,final_topsupport,3,6.702356641857539
RunningExample,Top-Support,final_topsupport,4,6.525763318625168
RunningExample,Top-Support,final_topsupport,5,6.710719835279699
RunningExample,Top-Support,final_topsupport,6,6.453490626230579
RunningExample,Top-Support,final_topsupport,7,7.124411970426976
RunningExample,Top-Support,final_topsupport,8,7.132999442479281
RunningExample,Top-Support,final_topsupport,9,6.276496333070533
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,1,6.6511329264619
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,10,5.926475766723642
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,11,6.480604481683493
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,12,5.614721377351982
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,13,5.649559616306023
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,14,5.708587102486655
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,15,5.064534653577519
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,16,6.932335980742183
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,17,6.1016194124227745
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,18,6.178759790633716
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,19,5.859646525990907
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,2,5.190724170121381
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,20,6.034936276834489
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,3,5.73392171284624
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,4,6.089563791996169
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,5,6.194113005948649
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,6,5.424140197518167
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,7,5.403339645760292
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,8,5.638339444467466
RunningExample,GENESIS,screening_notchainsuccession_Task_C_Task_B,9,6.195556022775206
